player,club,nationality,position,goals
Nathan Aké,AFC Bournemouth,Netherlands,DEF,4
Steve Cook,AFC Bournemouth,England,DEF,1
Charlie Daniels,AFC Bournemouth,England,DEF,1
Adam Smith,AFC Bournemouth,England,DEF,1
Laurent Koscielny,Arsenal,France,DEF,3
Shkodran Mustafi,Arsenal,Germany,DEF,2
Nacho Monreal,Arsenal,Spain,DEF,1
Sokratis,Arsenal,Greece,DEF,1
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,5
Lewis Dunk,Brighton and Hove Albion,England,DEF,2
Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,1
James Tarkowski,Burnley,England,DEF,3
Ben Gibson,Burnley,England,DEF,1
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,4
Callum Paterson,Cardiff City,Scotland,DEF,4
Sean Morrison,Cardiff City,England,DEF,1
David Luiz,Chelsea,Brazil,DEF,3
Marcos Alonso,Chelsea,Spain,DEF,2
César Azpilicueta,Chelsea,Spain,DEF,1
Antonio Rüdiger,Chelsea,Germany,DEF,1
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,4
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,3
James Tomkins,Crystal Palace,England,DEF,1
Joel Ward,Crystal Palace,England,DEF,1
Lucas Digne,Everton,France,DEF,4
Seamus Coleman,Everton,Ireland,DEF,2
Kurt Zouma,Everton,France,DEF,2
Phil Jagielka,Everton,England,DEF,1
Michael Keane,Everton,England,DEF,1
Yerry Mina,Everton,Colombia,DEF,1
Calum Chambers,Fulham,England,DEF,2
Zanka,Huddersfield Town,Denmark,DEF,3
Terence Kongolo,Huddersfield Town,Netherlands,DEF,1
Christopher Schindler,Huddersfield Town,Germany,DEF,1
Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,1
Harry Maguire,Leicester City,England,DEF,3
Wes Morgan,Leicester City,Jamaica,DEF,3
Ricardo Pereira,Leicester City,Portugal,DEF,2
Jonny Evans,Leicester City,Northern Ireland,DEF,1
Virgil van Dijk,Liverpool,Netherlands,DEF,4
Trent Alexander-Arnold,Liverpool,England,DEF,1
Dejan Lovren,Liverpool,Croatia,DEF,1
Joel Matip,Liverpool,Cameroon,DEF,1
Aymeric Laporte,Manchester City,France,DEF,3
Danilo,Manchester City,Brazil,DEF,1
Vincent Kompany,Manchester City,Belgium,DEF,1
Kyle Walker,Manchester City,England,DEF,1
Ashley Young,Manchester United,England,DEF,2
Victor Lindelöf,Manchester United,Sweden,DEF,1
Luke Shaw,Manchester United,England,DEF,1
Chris Smalling,Manchester United,England,DEF,1
Fabian Schär,Newcastle United,Switzerland,DEF,4
Ciaran Clark,Newcastle United,Ireland,DEF,3
DeAndre Yedlin,Newcastle United,United States,DEF,1
Yan Valery,Southampton,France,DEF,2
Cédric Soares,Southampton,Portugal,DEF,1
Ryan Bertrand,Southampton,England,DEF,1
Jack Stephens,Southampton,England,DEF,1
Matt Targett,Southampton,England,DEF,1
Juan Foyth,Tottenham Hotspur,Argentina,DEF,1
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,1
Kieran Trippier,Tottenham Hotspur,England,DEF,1
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,1
Craig Cathcart,Watford,Northern Ireland,DEF,3
José Holebas,Watford,Greece,DEF,3
Kiko Femenía,Watford,Spain,DEF,1
Declan Rice,West Ham United,England,DEF,2
Fabián Balbuena,West Ham United,Paraguay,DEF,1
Issa Diop,West Ham United,France,DEF,1
Ryan Fredericks,West Ham United,England,DEF,1
Angelo Ogbonna,West Ham United,Italy,DEF,1
Willy Boly,Wolverhampton Wanderers,France,DEF,4
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,4
Ryan Bennett,Wolverhampton Wanderers,England,DEF,1
Jonny,Wolverhampton Wanderers,Spain,DEF,1