player,club,nationality,position,assists
Callum Wilson,AFC Bournemouth,England,FWD,9
Joshua King,AFC Bournemouth,Norway,FWD,3
Dominic Solanke,AFC Bournemouth,England,FWD,1
Alexandre Lacazette,Arsenal,France,FWD,8
Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,5
Danny Welbeck,Arsenal,England,FWD,1
José Izquierdo,Brighton and Hove Albion,Colombia,FWD,1
Glenn Murray,Brighton and Hove Albion,England,FWD,1
Dwight McNeil,Burnley,England,FWD,5
Ashley Barnes,Burnley,Austria,FWD,2
Chris Wood,Burnley,New Zealand,FWD,2
Matej Vydra,Burnley,Czech Republic,FWD,1
David Junior Hoilett,Cardiff City,Canada,FWD,1
Nathaniel Mendez-Laing,Cardiff City,England,FWD,1
Kenneth Zohore,Cardiff City,Denmark,FWD,1
Eden Hazard,Chelsea,Belgium,FWD,15
Willian,Chelsea,Brazil,FWD,6
Olivier Giroud,Chelsea,France,FWD,4
Pedro,Chelsea,Spain,FWD,2
Callum Hudson-Odoi,Chelsea,England,FWD,1
Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,5
Jordan Ayew,Crystal Palace,Ghana,FWD,2
Christian Benteke,Crystal Palace,Belgium,FWD,1
Connor Wickham,Crystal Palace,England,FWD,1
Theo Walcott,Everton,England,FWD,37
Dominic Calvert-Lewin,Everton,England,FWD,35
Richarlison,Everton,Brazil,FWD,35
Cenk Tosun,Everton,Turkey,FWD,25
Ademola Lookman,Everton,England,FWD,21
Oumar Niasse,Everton,Senegal,FWD,5
Luciano Vietto,Fulham,Argentina,FWD,4
Aleksandar Mitrovic,Fulham,Serbia,FWD,3
Steve Mounie,Huddersfield Town,Benin,FWD,3
Laurent Depoitre,Huddersfield Town,Belgium,FWD,1
Jamie Vardy,Leicester City,England,FWD,4
Kelechi Iheanacho,Leicester City,Nigeria,FWD,3
Shinji Okazaki,Leicester City,Japan,FWD,1
Mohamed Salah,Liverpool,Egypt,FWD,8
Roberto Firmino,Liverpool,Brazil,FWD,6
Xherdan Shaqiri,Liverpool,Switzerland,FWD,3
Sadio Mané,Liverpool,Senegal,FWD,1
Divock Origi,Liverpool,Belgium,FWD,1
Daniel Sturridge,Liverpool,England,FWD,1
Leroy Sané,Manchester City,Germany,FWD,10
Raheem Sterling,Manchester City,England,FWD,10
Sergio Agüero,Manchester City,Argentina,FWD,8
Gabriel Jesus,Manchester City,Brazil,FWD,3
Marcus Rashford,Manchester United,England,FWD,6
Alexis Sánchez,Manchester United,Chile,FWD,3
Anthony Martial,Manchester United,France,FWD,2
Salomón Rondón,Newcastle United,Venezuela,FWD,7
Ayoze Pérez,Newcastle United,Spain,FWD,2
Danny Ings,Southampton,England,FWD,3
Charlie Austin,Southampton,England,FWD,2
Shane Long,Southampton,Ireland,FWD,1
Michael Obafemi,Southampton,Ireland,FWD,1
Son Heung-Min,Tottenham Hotspur,South Korea,FWD,6
Harry Kane,Tottenham Hotspur,England,FWD,4
Fernando Llorente,Tottenham Hotspur,Spain,FWD,4
Troy Deeney,Watford,England,FWD,5
Gerard Deulofeu,Watford,Spain,FWD,5
Andre Gray,Watford,England,FWD,2
Isaac Success,Watford,Nigeria,FWD,1
Marko Arnautovic,West Ham United,Austria,FWD,4
Chicharito,West Ham United,Mexico,FWD,1
Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,7
Léo Bonatini,Wolverhampton Wanderers,Brazil,FWD,1
Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,1
Adama Traoré,Wolverhampton Wanderers,Spain,FWD,1