player,club,nationality,position,crosses
Joshua King,AFC Bournemouth,Norway,FWD,43
Callum Wilson,AFC Bournemouth,England,FWD,20
Lys Mousset,AFC Bournemouth,France,FWD,3
Dominic Solanke,AFC Bournemouth,England,FWD,1
Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,43
Alexandre Lacazette,Arsenal,France,FWD,29
Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,23
Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,12
Glenn Murray,Brighton and Hove Albion,England,FWD,8
José Izquierdo,Brighton and Hove Albion,Colombia,FWD,6
Florin Andone,Brighton and Hove Albion,Romania,FWD,5
Dwight McNeil,Burnley,England,FWD,117
Chris Wood,Burnley,New Zealand,FWD,12
Ashley Barnes,Burnley,Austria,FWD,6
Sam Vokes,Burnley,Wales,FWD,1
Matej Vydra,Burnley,Czech Republic,FWD,1
David Junior Hoilett,Cardiff City,Canada,FWD,85
Nathaniel Mendez-Laing,Cardiff City,England,FWD,27
Kenneth Zohore,Cardiff City,Denmark,FWD,7
Oumar Niasse,Cardiff City,Senegal,FWD,4
Rhys Healey,Cardiff City,England,FWD,3
Danny Ward,Cardiff City,England,FWD,2
Willian,Chelsea,Brazil,FWD,169
Eden Hazard,Chelsea,Belgium,FWD,145
Pedro,Chelsea,Spain,FWD,61
Callum Hudson-Odoi,Chelsea,England,FWD,22
Álvaro Morata,Chelsea,Spain,FWD,3
Gonzalo Higuaín,Chelsea,Argentina,FWD,2
Olivier Giroud,Chelsea,France,FWD,1
Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,37
Jordan Ayew,Crystal Palace,Ghana,FWD,15
Michy Batshuayi,Crystal Palace,Belgium,FWD,1
Christian Benteke,Crystal Palace,Belgium,FWD,1
Alexander Sørloth,Crystal Palace,Norway,FWD,1
Connor Wickham,Crystal Palace,England,FWD,1
Theo Walcott,Everton,England,FWD,53
Richarlison,Everton,Brazil,FWD,47
Ademola Lookman,Everton,England,FWD,15
Dominic Calvert-Lewin,Everton,England,FWD,8
Cenk Tosun,Everton,Turkey,FWD,4
Oumar Niasse,Everton,Senegal,FWD,1
Luciano Vietto,Fulham,Argentina,FWD,19
Aboubakar Kamara,Fulham,France,FWD,18
Floyd Ayité,Fulham,Togo,FWD,6
Aleksandar Mitrovic,Fulham,Serbia,FWD,6
Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,15
Adama Diakhaby,Huddersfield Town,France,FWD,14
Karlan Grant,Huddersfield Town,England,FWD,9
Steve Mounie,Huddersfield Town,Benin,FWD,9
Laurent Depoitre,Huddersfield Town,Belgium,FWD,4
Jamie Vardy,Leicester City,England,FWD,28
Kelechi Iheanacho,Leicester City,Nigeria,FWD,6
Mohamed Salah,Liverpool,Egypt,FWD,57
Xherdan Shaqiri,Liverpool,Switzerland,FWD,47
Sadio Mané,Liverpool,Senegal,FWD,39
Roberto Firmino,Liverpool,Brazil,FWD,9
Divock Origi,Liverpool,Belgium,FWD,5
Daniel Sturridge,Liverpool,England,FWD,3
Leroy Sané,Manchester City,Germany,FWD,98
Raheem Sterling,Manchester City,England,FWD,75
Sergio Agüero,Manchester City,Argentina,FWD,13
Gabriel Jesus,Manchester City,Brazil,FWD,4
Marcus Rashford,Manchester United,England,FWD,55
Romelu Lukaku,Manchester United,Belgium,FWD,46
Anthony Martial,Manchester United,France,FWD,34
Alexis Sánchez,Manchester United,Chile,FWD,24
Mason Greenwood,Manchester United,England,FWD,1
Ayoze Pérez,Newcastle United,Spain,FWD,22
Salomón Rondón,Newcastle United,Venezuela,FWD,14
Yoshinori Muto,Newcastle United,Japan,FWD,4
Joselu,Newcastle United,Spain,FWD,3
Danny Ings,Southampton,England,FWD,14
Shane Long,Southampton,Ireland,FWD,14
Manolo Gabbiadini,Southampton,Italy,FWD,4
Michael Obafemi,Southampton,Ireland,FWD,1
Son Heung-Min,Tottenham Hotspur,South Korea,FWD,25
Harry Kane,Tottenham Hotspur,England,FWD,12
Vincent Janssen,Tottenham Hotspur,Netherlands,FWD,1
Fernando Llorente,Tottenham Hotspur,Spain,FWD,1
Gerard Deulofeu,Watford,Spain,FWD,62
Troy Deeney,Watford,England,FWD,16
Isaac Success,Watford,Nigeria,FWD,13
Andre Gray,Watford,England,FWD,8
Marko Arnautovic,West Ham United,Austria,FWD,18
Andriy Yarmolenko,West Ham United,Ukraine,FWD,10
Chicharito,West Ham United,Mexico,FWD,9
Lucas Pérez,West Ham United,Spain,FWD,2
Andy Carroll,West Ham United,England,FWD,1
Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,54
Adama Traoré,Wolverhampton Wanderers,Spain,FWD,35
Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,27
Léo Bonatini,Wolverhampton Wanderers,Brazil,FWD,4