rank,player,club,nationality,position,assists
1,Ryan Fraser,AFC Bournemouth,Scotland,MID,14
2,David Brooks,AFC Bournemouth,Wales,MID,5
3,Junior Stanislas,AFC Bournemouth,England,MID,3
4,Dan Gosling,AFC Bournemouth,England,MID,1
4,Jordon Ibe,AFC Bournemouth,England,MID,1
1,Alex Iwobi,Arsenal,Nigeria,MID,6
1,Aaron Ramsey,Arsenal,Wales,MID,6
3,Henrikh Mkhitaryan,Arsenal,Armenia,MID,4
4,Mesut Özil,Arsenal,Germany,MID,2
4,Lucas Torreira,Arsenal,Uruguay,MID,2
4,Granit Xhaka,Arsenal,Switzerland,MID,2
7,Ainsley Maitland-Niles,Arsenal,England,MID,1
1,Anthony Knockaert,Brighton and Hove Albion,France,MID,6
2,Solly March,Brighton and Hove Albion,England,MID,5
3,Pascal Groß,Brighton and Hove Albion,Germany,MID,3
4,Beram Kayal,Brighton and Hove Albion,Israel,MID,1
4,Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,1
4,Dale Stephens,Brighton and Hove Albion,England,MID,1
1,Ashley Westwood,Burnley,England,MID,7
2,Johann Gudmundsson,Burnley,Iceland,MID,6
3,Jack Cork,Burnley,England,MID,2
4,Robbie Brady,Burnley,Ireland,MID,1
4,Aaron Lennon,Burnley,England,MID,1
1,Víctor Camarasa,Cardiff City,Spain,MID,4
2,Bobby De Cordova-Reid,Cardiff City,England,MID,2
2,Josh Murphy,Cardiff City,England,MID,2
4,Harry Arter,Cardiff City,Ireland,MID,1
4,Aron Gunnarsson,Cardiff City,Iceland,MID,1
1,Ross Barkley,Chelsea,England,MID,5
2,N'Golo Kanté,Chelsea,France,MID,4
3,Mateo Kovacic,Chelsea,Croatia,MID,2
3,Ruben Loftus-Cheek,Chelsea,England,MID,2
1,James McArthur,Crystal Palace,Scotland,MID,6
2,Andros Townsend,Crystal Palace,England,MID,4
3,Aaron Wan-Bissaka,Crystal Palace,England,MID,3
4,Cheikhou Kouyaté,Crystal Palace,Senegal,MID,2
4,Max Meyer,Crystal Palace,Germany,MID,2
4,Luka Milivojevic,Crystal Palace,Serbia,MID,2
1,Gylfi Sigurdsson,Everton,Iceland,MID,6
2,Bernard,Everton,Brazil,MID,3
3,Idrissa Gueye,Everton,Senegal,MID,2
4,Morgan Schneiderlin,Everton,France,MID,1
4,André Gomes,Everton,Portugal,MID,1
1,Ryan Sessegnon,Fulham,England,MID,6
2,Ryan Babel,Fulham,Netherlands,MID,3
3,Jean Michael Seri,Fulham,Cote D'Ivoire,MID,2
4,Tom Cairney,Fulham,Scotland,MID,1
1,Jonathan Hogg,Huddersfield Town,England,MID,1
1,Isaac Mbenza,Huddersfield Town,Belgium,MID,1
1,Aaron Mooy,Huddersfield Town,Australia,MID,1
1,James Maddison,Leicester City,England,MID,7
2,Youri Tielemans,Leicester City,Belgium,MID,4
3,Marc Albrighton,Leicester City,England,MID,2
3,Harvey Barnes,Leicester City,England,MID,2
5,Demarai Gray,Leicester City,England,MID,1
1,James Milner,Liverpool,England,MID,4
2,Jordan Henderson,Liverpool,England,MID,3
3,Fabinho,Liverpool,Brazil,MID,2
4,Naby Keita,Liverpool,Guinea,MID,1
3,David Silva,Manchester City,Spain,MID,8
5,Bernardo Silva,Manchester City,Portugal,MID,7
7,Riyad Mahrez,Manchester City,Algeria,MID,4
8,Ilkay Gündogan,Manchester City,Germany,MID,3
8,Fernandinho,Manchester City,Brazil,MID,3
8,Oleksandr Zinchenko,Manchester City,Ukraine,MID,3
13,Kevin De Bruyne,Manchester City,Belgium,MID,2
1,Paul Pogba,Manchester United,France,MID,9
2,Ander Herrera,Manchester United,Spain,MID,3
3,Jesse Lingard,Manchester United,England,MID,2
3,Juan Mata,Manchester United,Spain,MID,2
5,Marouane Fellaini,Manchester United,Belgium,MID,1
5,Andreas Pereira,Manchester United,Brazil,MID,1
5,Fred,Manchester United,Brazil,MID,1
1,Matt Ritchie,Newcastle United,Scotland,MID,8
2,Isaac Hayden,Newcastle United,England,MID,4
3,Ki Sung-yueng,Newcastle United,South Korea,MID,1
3,Jacob Murphy,Newcastle United,England,MID,1
3,Kenedy,Newcastle United,Brazil,MID,1
3,Jonjo Shelvey,Newcastle United,England,MID,1
1,Nathan Redmond,Southampton,England,MID,4
2,Pierre-Emile Højbjerg,Southampton,Denmark,MID,3
3,Stuart Armstrong,Southampton,Scotland,MID,2
4,Steven Davis,Southampton,Northern Ireland,MID,1
4,Mario Lemina,Southampton,Gabon,MID,1
4,Josh Sims,Southampton,England,MID,1
1,Christian Eriksen,Tottenham Hotspur,Denmark,MID,12
2,Dele Alli,Tottenham Hotspur,England,MID,3
2,Moussa Sissoko,Tottenham Hotspur,France,MID,3
4,Erik Lamela,Tottenham Hotspur,Argentina,MID,2
5,Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,1
1,Abdoulaye Doucouré,Watford,France,MID,6
2,Will Hughes,Watford,England,MID,4
3,Etienne Capoue,Watford,France,MID,3
4,Ken Sema,Watford,Sweden,MID,2
5,Roberto Pereyra,Watford,Argentina,MID,1
1,Mark Noble,West Ham United,England,MID,5
1,Robert Snodgrass,West Ham United,Scotland,MID,5
3,Michail Antonio,West Ham United,England,MID,4
3,Felipe Anderson,West Ham United,Brazil,MID,4
5,Samir Nasri,West Ham United,France,MID,2
6,Grady Diangana,West Ham United,England,MID,1
6,Manuel Lanzini,West Ham United,Argentina,MID,1
6,Pedro Obiang,West Ham United,Equatorial Guinea,MID,1
6,Jack Wilshere,West Ham United,England,MID,1
1,João Moutinho,Wolverhampton Wanderers,Portugal,MID,8
2,Diogo Jota,Wolverhampton Wanderers,Portugal,MID,5
3,Rúben Neves,Wolverhampton Wanderers,Portugal,MID,3
4,Hélder Costa,Wolverhampton Wanderers,Portugal,MID,2
5,Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,1