player,club,nationality,position,passes
Jefferson Lerma,AFC Bournemouth,Colombia,MID,"1,561"
Ryan Fraser,AFC Bournemouth,Scotland,MID,"1,195"
Dan Gosling,AFC Bournemouth,England,MID,970
David Brooks,AFC Bournemouth,Wales,MID,855
Andrew Surman,AFC Bournemouth,England,MID,838
Junior Stanislas,AFC Bournemouth,England,MID,496
Lewis Cook,AFC Bournemouth,England,MID,391
Jordon Ibe,AFC Bournemouth,England,MID,250
Emerson Hyndman,AFC Bournemouth,United States,MID,23
Granit Xhaka,Arsenal,Switzerland,MID,"2,245"
Matteo Guendouzi,Arsenal,France,MID,"1,598"
Lucas Torreira,Arsenal,Uruguay,MID,"1,590"
Mesut Özil,Arsenal,Germany,MID,"1,118"
Alex Iwobi,Arsenal,Nigeria,MID,951
Henrikh Mkhitaryan,Arsenal,Armenia,MID,796
Aaron Ramsey,Arsenal,Wales,MID,773
Ainsley Maitland-Niles,Arsenal,England,MID,451
Mohamed Elneny,Arsenal,Egypt,MID,278
Denis Suárez,Arsenal,Spain,MID,34
Joe Willock,Arsenal,England,MID,15
Dale Stephens,Brighton and Hove Albion,England,MID,"1,353"
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,"1,213"
Pascal Groß,Brighton and Hove Albion,Germany,MID,810
Solly March,Brighton and Hove Albion,England,MID,756
Yves Bissouma,Brighton and Hove Albion,Mali,MID,715
Anthony Knockaert,Brighton and Hove Albion,France,MID,616
Beram Kayal,Brighton and Hove Albion,Israel,MID,271
Ashley Westwood,Burnley,England,MID,"1,419"
Jack Cork,Burnley,England,MID,"1,329"
Jeff Hendrick,Burnley,Ireland,MID,659
Johann Gudmundsson,Burnley,Iceland,MID,491
Aaron Lennon,Burnley,England,MID,277
Steven Defour,Burnley,Belgium,MID,249
Robbie Brady,Burnley,Ireland,MID,223
Víctor Camarasa,Cardiff City,Spain,MID,885
Joe Ralls,Cardiff City,England,MID,778
Aron Gunnarsson,Cardiff City,Iceland,MID,749
Harry Arter,Cardiff City,Ireland,MID,658
Bobby De Cordova-Reid,Cardiff City,England,MID,311
Josh Murphy,Cardiff City,England,MID,308
Leandro Bacuna,Cardiff City,Curacao,MID,145
Kadeem Harris,Cardiff City,England,MID,88
Loïc Damour,Cardiff City,France,MID,11
Jorginho,Chelsea,Italy,MID,"3,118"
N'Golo Kanté,Chelsea,France,MID,"2,021"
Mateo Kovacic,Chelsea,Croatia,MID,"1,468"
Ross Barkley,Chelsea,England,MID,954
Ruben Loftus-Cheek,Chelsea,England,MID,610
Cesc Fàbregas,Chelsea,Spain,MID,193
Victor Moses,Chelsea,Nigeria,MID,13
Luka Milivojevic,Crystal Palace,Serbia,MID,"1,986"
James McArthur,Crystal Palace,Scotland,MID,"1,400"
Aaron Wan-Bissaka,Crystal Palace,England,MID,"1,165"
Andros Townsend,Crystal Palace,England,MID,"1,027"
Cheikhou Kouyaté,Crystal Palace,Senegal,MID,765
Max Meyer,Crystal Palace,Germany,MID,663
Jason Puncheon,Crystal Palace,England,MID,12
Bakary Sako,Crystal Palace,Mali,MID,10
Luke Dreher,Crystal Palace,England,MID,3
Idrissa Gueye,Everton,Senegal,MID,"1,739"
André Gomes,Everton,Portugal,MID,"1,200"
Gylfi Sigurdsson,Everton,Iceland,MID,990
Bernard,Everton,Brazil,MID,806
Morgan Schneiderlin,Everton,France,MID,545
Tom Davies,Everton,England,MID,506
James McCarthy,Everton,Ireland,MID,6
Jean Michael Seri,Fulham,Cote D'Ivoire,MID,"1,592"
Tom Cairney,Fulham,Scotland,MID,"1,373"
André-Frank Zambo Anguissa,Fulham,Cameroon,MID,"1,043"
Ryan Sessegnon,Fulham,England,MID,687
Kevin McDonald,Fulham,Scotland,MID,578
André Schürrle,Fulham,Germany,MID,523
Ryan Babel,Fulham,Netherlands,MID,469
Stefan Johansen,Fulham,Norway,MID,250
Ibrahima Cissé,Fulham,Guinea,MID,34
Lazar Markovic,Fulham,Serbia,MID,29
Harvey Elliott,Fulham,England,MID,11
Jonathan Hogg,Huddersfield Town,England,MID,"1,546"
Aaron Mooy,Huddersfield Town,Australia,MID,"1,278"
Philip Billing,Huddersfield Town,Denmark,MID,"1,074"
Alex Pritchard,Huddersfield Town,England,MID,896
Juninho Bacuna,Huddersfield Town,Netherlands,MID,715
Isaac Mbenza,Huddersfield Town,Belgium,MID,232
Jason Puncheon,Huddersfield Town,England,MID,200
Rajiv van La Parra,Huddersfield Town,Netherlands,MID,105
Ramadan Sobhi,Huddersfield Town,Egypt,MID,43
Danny Williams,Huddersfield Town,United States,MID,24
Aaron Rowe,Huddersfield Town,England,MID,20
Matty Daly,Huddersfield Town,England,MID,12
Abdelhamid Sabiri,Huddersfield Town,Germany,MID,8
Wilfred Ndidi,Leicester City,Nigeria,MID,"1,984"
James Maddison,Leicester City,England,MID,"1,404"
Nampalys Mendy,Leicester City,France,MID,"1,092"
Demarai Gray,Leicester City,England,MID,657
Youri Tielemans,Leicester City,Belgium,MID,641
Marc Albrighton,Leicester City,England,MID,621
Rachid Ghezzal,Leicester City,Algeria,MID,422
Daniel Amartey,Leicester City,Ghana,MID,371
Harvey Barnes,Leicester City,England,MID,311
Hamza Choudhury,Leicester City,England,MID,240
Vicente Iborra,Leicester City,Spain,MID,147
Adrien Silva,Leicester City,Portugal,MID,79
Fousseni Diabaté,Leicester City,Mali,MID,14
Georginio Wijnaldum,Liverpool,Netherlands,MID,"1,769"
Jordan Henderson,Liverpool,England,MID,"1,740"
Fabinho,Liverpool,Brazil,MID,"1,610"
James Milner,Liverpool,England,MID,"1,401"
Naby Keita,Liverpool,Guinea,MID,"1,005"
Adam Lallana,Liverpool,England,MID,302
Alex Oxlade-Chamberlain,Liverpool,England,MID,13
Fernandinho,Manchester City,Brazil,MID,"2,050"
David Silva,Manchester City,Spain,MID,"2,015"
Ilkay Gündogan,Manchester City,Germany,MID,"1,994"
Bernardo Silva,Manchester City,Portugal,MID,"1,706"
Oleksandr Zinchenko,Manchester City,Ukraine,MID,"1,184"
Riyad Mahrez,Manchester City,Algeria,MID,798
Kevin De Bruyne,Manchester City,Belgium,MID,725
Phil Foden,Manchester City,England,MID,231
Paul Pogba,Manchester United,France,MID,"2,068"
Nemanja Matic,Manchester United,Serbia,MID,"1,836"
Ander Herrera,Manchester United,Spain,MID,980
Fred,Manchester United,Brazil,MID,769
Jesse Lingard,Manchester United,England,MID,761
Juan Mata,Manchester United,Spain,MID,700
Scott McTominay,Manchester United,Scotland,MID,449
Marouane Fellaini,Manchester United,Belgium,MID,425
Andreas Pereira,Manchester United,Brazil,MID,353
Angel Gomes,Manchester United,England,MID,21
Matt Ritchie,Newcastle United,Scotland,MID,"1,100"
Mohamed Diamé,Newcastle United,Senegal,MID,733
Isaac Hayden,Newcastle United,England,MID,720
Jonjo Shelvey,Newcastle United,England,MID,629
Ki Sung-yueng,Newcastle United,South Korea,MID,597
Kenedy,Newcastle United,Brazil,MID,462
Christian Atsu,Newcastle United,Ghana,MID,383
Sean Longstaff,Newcastle United,England,MID,293
Miguel Almirón,Newcastle United,Paraguay,MID,241
Jacob Murphy,Newcastle United,England,MID,44
Pierre-Emile Højbjerg,Southampton,Denmark,MID,"1,793"
Nathan Redmond,Southampton,England,MID,"1,125"
Oriol Romeu,Southampton,Spain,MID,"1,103"
Mario Lemina,Southampton,Gabon,MID,809
James Ward-Prowse,Southampton,England,MID,720
Stuart Armstrong,Southampton,Scotland,MID,615
Mohamed Elyounoussi,Southampton,Norway,MID,222
Steven Davis,Southampton,Northern Ireland,MID,68
Josh Sims,Southampton,England,MID,44
Callum Slattery,Southampton,England,MID,31
Christian Eriksen,Tottenham Hotspur,Denmark,MID,"1,872"
Harry Winks,Tottenham Hotspur,England,MID,"1,388"
Moussa Sissoko,Tottenham Hotspur,France,MID,"1,348"
Eric Dier,Tottenham Hotspur,England,MID,"1,082"
Dele Alli,Tottenham Hotspur,England,MID,"1,028"
Lucas Moura,Tottenham Hotspur,Brazil,MID,723
Erik Lamela,Tottenham Hotspur,Argentina,MID,422
Victor Wanyama,Tottenham Hotspur,Kenya,MID,326
Mousa Dembélé,Tottenham Hotspur,Belgium,MID,308
Oliver Skipp,Tottenham Hotspur,England,MID,143
Luke Amos,Tottenham Hotspur,England,MID,3
Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,3
Abdoulaye Doucouré,Watford,France,MID,"1,942"
Etienne Capoue,Watford,France,MID,"1,749"
Roberto Pereyra,Watford,Argentina,MID,"1,121"
Will Hughes,Watford,England,MID,960
Ken Sema,Watford,Sweden,MID,236
Domingos Quina,Watford,Portugal,MID,227
Tom Cleverley,Watford,England,MID,221
Nathaniel Chalobah,Watford,England,MID,112
Felipe Anderson,West Ham United,Brazil,MID,"1,667"
Mark Noble,West Ham United,England,MID,"1,507"
Robert Snodgrass,West Ham United,Scotland,MID,969
Michail Antonio,West Ham United,England,MID,668
Pedro Obiang,West Ham United,Equatorial Guinea,MID,536
Manuel Lanzini,West Ham United,Argentina,MID,452
Grady Diangana,West Ham United,England,MID,244
Jack Wilshere,West Ham United,England,MID,217
Samir Nasri,West Ham United,France,MID,155
Carlos Sánchez,West Ham United,Colombia,MID,143
Ben Johnson,West Ham United,England,MID,14
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,"1,940"
João Moutinho,Wolverhampton Wanderers,Portugal,MID,"1,863"
Conor Coady,Wolverhampton Wanderers,England,MID,"1,688"
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,745
Romain Saïss,Wolverhampton Wanderers,Morocco,MID,737
Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,607
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,442
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,317